	Country	Count	Percentage
0	united states	4	21.052631578947366
1	Unknown	3	15.789473684210526
2	malaysia	2	10.526315789473683
3	argentina	1	5.263157894736842
4	egypt	1	5.263157894736842
5	japan	1	5.263157894736842
6	indonesia	1	5.263157894736842
7	thailand	1	5.263157894736842
8	singapore	1	5.263157894736842
9	Others	4	21.052631578947366
