	Country	Count	Percentage
0	malaysia	31	50.81967213114754
1	Unknown	15	24.59016393442623
2	indonesia	10	16.39344262295082
3	paris	2	3.278688524590164
4	japan	1	1.639344262295082
5	india	1	1.639344262295082
6	brunei	1	1.639344262295082
